title,genre,score,synopsis
Avatar: The Last Airbender,"Animation, Action, Adventure",9.3,"The world is divided into four elemental nations: The Northern and Southern Water Tribes, the Earth Kingdom, the Fire Nation, and the Air Nomads. The Avatar upholds the balance between the nations, but everything changed when the Fire Nation invaded. Only the Avatar, master of all four elements, can stop them. But when the world needs him most, he vanishes. A hundred years later Katara and Sokka discover the new Avatar, an airbender named Aang. Together they must help Aang master the elements and save the world."
Bluey,"Animation, Family",9.5,"Bluey follows the adventures of a lovable and inexhaustible six-year-old Blue Heeler puppy who lives with her dad, mum and four-year-old little sister, Bingo. In every episode, Bluey uses her limitless Blue Heeler energy to play elaborate games that unfold in unpredictable and hilarious ways."
The Terminal List,"Action, Drama, Thriller",7.9,"The series follows James Reece after his entire platoon of Navy SEALs is ambushed during a high-stakes covert mission. Reece returns home to his family with conflicting memories of the event and questions about his culpability. However, as new evidence comes to light, Reece discovers dark forces working against him, endangering not only his life but the lives of those he loves."
Big Little Lies,"Crime, Drama, Mystery",8.5,"When Madeline and Celeste take new-in-town single mom Jane under their wing, none of them realize how the arrival of Jane and her inscrutable little boy will affect them all. Big Little Lies is a brilliant take on ex-husbands and second wives, schoolyard scandal, and the dangerous little lies we tell ourselves just to survive."
The Good Place,"Comedy, Drama, Fantasy",8.2,"The Good Place is a town where those who have been good throughout their lives go once they have passed away. Michael (Danson) is the architect who oversees the town--and this is the first one he has been in charge of creating. Eleanor (Bell) arrives at the Good Place and realizes they have her name right, but everything else is wrong. She isn't meant to be there at all. With the help of Chidi, her soul mate (Harper), Eleanor tries to right her wrongs, seeking to finally earn her spot in the Good Place."
Desperate Housewives,"Comedy, Drama, Mystery",7.6,"The ""normal"" suburban life for a group of close-knit housewives takes a dark turn when one of their closest friends mysteriously commits suicide. Now while trying to deal with their own hectic problems and romantic lives, each year brings on a new mystery and more dark and twisted events to come. Life behind closed doors is about to be revealed as suburban life takes a funny and dark turn."
The Closer,"Crime, Drama, Mystery",7.8,"Deputy Police Chief Brenda Leigh Johnson, formerly Atlanta police officer and CIA-trained interrogator, is given the opportunity to run her own division of elite officers of the Los Angeles Police Department. Her unusual procedure for obtaining confessions, blatant disregard for politics, and southern accent make her a marked woman. However, with all the bluster and bravado, she still maintains her title, The Closer."
All Creatures Great and Small,"Comedy, Drama",8.6,The numerous adventures of a friendly staff at a country veterinarian practice in 1930s to 1940s Yorkshire.
Derry Girls,Comedy,8.5,The personal exploits of a 16-year-old girl and her family and friends during the Troubles in the early 1990s.
The Wheel of Time,"Action, Adventure, Drama",7.1,"Set in a high fantasy world where magic exists, but only some can access it, a woman named Moiraine crosses paths with five young men and women. This sparks a dangerous, world-spanning journey. Based on the book series by Robert Jordan."
The Americans,"Crime, Drama, Mystery",8.4,"A pair of deep-cover Soviet spies masquerades as a typical DC couple whose children, neighbors, coworkers, and friends are completely unaware of their activities. At home, they're the stereotypical parents of stereotypical kids; at work, they pose as travel agents; but at night, they weave a web of confidantes, lovers, dupes, and historical figures from the Reagan-era Cold War. The startlingly realistic plot twists force the viewer to consider the real cost of an undeclared war, what it takes to protect one's beliefs, if it's worth it, and if it actually worked for either side."
House of Cards,Drama,8.7,"Majority House Whip Francis Underwood takes you on a long journey as he exacts his vengeance on those he feels wronged him - that is, his own cabinet members including the President of the United States himself. Dashing, cunning, methodical and vicious, Frank Underwood along with his equally manipulative yet ambiguous wife, Claire, take Washington by storm through climbing the hierarchical ladder to power in this Americanized recreation of the BBC series of the same name."
Saturday Night Live,"Comedy, Music",8.0,"A late-night comedy show featuring several short skits, parodies of television commercials, a live guest band, and a pop-cultural guest host each week. Many of the SNL players have spun off successful independent comedy and/or movie careers from here."
East New York,"Crime, Drama",7.2,Procedural following Deputy Inspector Regina Haywood and her diverse team in East New York's 74th Precinct.
Daredevil,"Action, Crime, Drama",8.6,"As a child Matt Murdock was blinded by a chemical spill in a freak accident. Instead of limiting him it gave him superhuman senses that enabled him to see the world in a unique and powerful way. Now he uses these powers to deliver justice, not only as a lawyer in his own law firm, but also as vigilante at night, stalking the streets of Hell's Kitchen as Daredevil, the man without fear."
Line of Duty,"Crime, Drama, Mystery",8.7,"Line of Duty follows Detective Seargent Steven ""Steve"" Arnott (Martin Compston), a former authorized firearms officer who led an operation to catch an Islamic terrorist intending to detonate a bomb, but the strike team mistakenly entered the wrong apartment and shot dead an unarmed innocent man. In the subsequent investigation, Arnott refused to cover up negligence in the planning and execution of the raid and unable to work in his unit anymore, Arnott receives a transfer to AC-12, a unit tasked with uncovering police corruption. Arnott is partnered with Detective Constable Kathrine ""Kate"" Fleming (Vicky McClure)), a highly commended undercover officer with a keen investigative instinct. They work under the supervision of Superintendent Edward ""Ted"" Hastings (Adrian Dunbar), who is one of several Senior Investigating Officers responsible for uncovering corruption within the police force. Throughout the series, AC-12 investigate seemingly disparate cases involving seemingly corrupt police officers, with each series focusing on a different corrupt officer and AC-12 soon realize the pervasive nature of corruption and the police's deep-rooted links to an organized crime group with ties to drug running, prostitution, child exploitation and people trafficking."
